08868: Fangst, etter år, landingskommune, fangstart og statistikkvariabel;;;;
;;;;
år;landingskommune;fangstart;Mengde (tonn);Verdi (1 000 kr)
2000;1014 Vennesla (-2019);Fisk i alt;0;0
2000;1014 Vennesla (-2019);Pelagisk fisk;0;0
2000;1014 Vennesla (-2019);Torsk og torskeartar;0;0
2000;1014 Vennesla (-2019);Flatfisk og botnfisk;0;0
2000;1014 Vennesla (-2019);Djupvassfisk;0;0
2000;1014 Vennesla (-2019);Andre skaldyr og blautdyr;0;0
2000;1014 Vennesla (-2019);Annan fisk, uspesifisert;0;0
2000;1017 Songdalen (1964-2019);Fisk i alt;0;0
2000;1017 Songdalen (1964-2019);Pelagisk fisk;0;0
2000;1017 Songdalen (1964-2019);Torsk og torskeartar;0;0
2000;1017 Songdalen (1964-2019);Flatfisk og botnfisk;0;0
2000;1017 Songdalen (1964-2019);Djupvassfisk;0;0
2000;1017 Songdalen (1964-2019);Andre skaldyr og blautdyr;0;0
2000;1017 Songdalen (1964-2019);Annan fisk, uspesifisert;0;0
2000;1018 Søgne (-2019);Fisk i alt;617;15946
2000;1018 Søgne (-2019);Pelagisk fisk;15;109
2000;1018 Søgne (-2019);Torsk og torskeartar;103;998
2000;1018 Søgne (-2019);Flatfisk og botnfisk;27;756
2000;1018 Søgne (-2019);Djupvassfisk;11;82
2000;1018 Søgne (-2019);Andre skaldyr og blautdyr;460;14000
2000;1018 Søgne (-2019);Annan fisk, uspesifisert;1;0
2000;1021 Marnardal (1964-2019);Fisk i alt;0;0
2000;1021 Marnardal (1964-2019);Pelagisk fisk;0;0
2000;1021 Marnardal (1964-2019);Torsk og torskeartar;0;0
2000;1021 Marnardal (1964-2019);Flatfisk og botnfisk;0;0
2000;1021 Marnardal (1964-2019);Djupvassfisk;0;0
2000;1021 Marnardal (1964-2019);Andre skaldyr og blautdyr;0;0
2000;1021 Marnardal (1964-2019);Annan fisk, uspesifisert;0;0
2000;1026 Åseral (-2019);Fisk i alt;0;0
2000;1026 Åseral (-2019);Pelagisk fisk;0;0
2000;1026 Åseral (-2019);Torsk og torskeartar;0;0
2000;1026 Åseral (-2019);Flatfisk og botnfisk;0;0
2000;1026 Åseral (-2019);Djupvassfisk;0;0
2000;1026 Åseral (-2019);Andre skaldyr og blautdyr;0;0
2000;1026 Åseral (-2019);Annan fisk, uspesifisert;0;0
2000;1027 Audnedal (1964-2019);Fisk i alt;0;0
2000;1027 Audnedal (1964-2019);Pelagisk fisk;0;0
2000;1027 Audnedal (1964-2019);Torsk og torskeartar;0;0
2000;1027 Audnedal (1964-2019);Flatfisk og botnfisk;0;0
2000;1027 Audnedal (1964-2019);Djupvassfisk;0;0
2000;1027 Audnedal (1964-2019);Andre skaldyr og blautdyr;0;0
2000;1027 Audnedal (1964-2019);Annan fisk, uspesifisert;0;0
2000;1029 Lindesnes (1964-2019);Fisk i alt;:;:
2000;1029 Lindesnes (1964-2019);Pelagisk fisk;0;0
2000;1029 Lindesnes (1964-2019);Torsk og torskeartar;0;0
2000;1029 Lindesnes (1964-2019);Flatfisk og botnfisk;0;0
2000;1029 Lindesnes (1964-2019);Djupvassfisk;0;0
2000;1029 Lindesnes (1964-2019);Andre skaldyr og blautdyr;0;0
2000;1029 Lindesnes (1964-2019);Annan fisk, uspesifisert;:;:
2000;1032 Lyngdal (-2019);Fisk i alt;9051;32798
2000;1032 Lyngdal (-2019);Pelagisk fisk;8659;28832
2000;1032 Lyngdal (-2019);Torsk og torskeartar;41;462
2000;1032 Lyngdal (-2019);Flatfisk og botnfisk;22;592
2000;1032 Lyngdal (-2019);Djupvassfisk;8;72
2000;1032 Lyngdal (-2019);Andre skaldyr og blautdyr;136;2810
2000;1032 Lyngdal (-2019);Annan fisk, uspesifisert;186;30
2000;1034 Hægebostad (-2019);Fisk i alt;0;0
2000;1034 Hægebostad (-2019);Pelagisk fisk;0;0
2000;1034 Hægebostad (-2019);Torsk og torskeartar;0;0
2000;1034 Hægebostad (-2019);Flatfisk og botnfisk;0;0
2000;1034 Hægebostad (-2019);Djupvassfisk;0;0
2000;1034 Hægebostad (-2019);Andre skaldyr og blautdyr;0;0
2000;1034 Hægebostad (-2019);Annan fisk, uspesifisert;0;0
2000;1037 Kvinesdal (-2019);Fisk i alt;0;0
2000;1037 Kvinesdal (-2019);Pelagisk fisk;0;0
2000;1037 Kvinesdal (-2019);Torsk og torskeartar;0;0
2000;1037 Kvinesdal (-2019);Flatfisk og botnfisk;0;0
2000;1037 Kvinesdal (-2019);Djupvassfisk;0;0
2000;1037 Kvinesdal (-2019);Andre skaldyr og blautdyr;0;0
2000;1037 Kvinesdal (-2019);Annan fisk, uspesifisert;0;0
2000;1046 Sirdal (1960-2019);Fisk i alt;0;0
2000;1046 Sirdal (1960-2019);Pelagisk fisk;0;0
2000;1046 Sirdal (1960-2019);Torsk og torskeartar;0;0
2000;1046 Sirdal (1960-2019);Flatfisk og botnfisk;0;0
2000;1046 Sirdal (1960-2019);Djupvassfisk;0;0
2000;1046 Sirdal (1960-2019);Andre skaldyr og blautdyr;0;0
2000;1046 Sirdal (1960-2019);Annan fisk, uspesifisert;0;0
2000;1099 Uoppgitt kommune Vest-Agder;Fisk i alt;0;0
2000;1099 Uoppgitt kommune Vest-Agder;Pelagisk fisk;0;0
2000;1099 Uoppgitt kommune Vest-Agder;Torsk og torskeartar;0;0
2000;1099 Uoppgitt kommune Vest-Agder;Flatfisk og botnfisk;0;0
2000;1099 Uoppgitt kommune Vest-Agder;Djupvassfisk;0;0
2000;1099 Uoppgitt kommune Vest-Agder;Andre skaldyr og blautdyr;0;0
2000;1099 Uoppgitt kommune Vest-Agder;Annan fisk, uspesifisert;0;0
2000;1101 Eigersund;Fisk i alt;310993;330063
2000;1101 Eigersund;Pelagisk fisk;307263;294424
2000;1101 Eigersund;Torsk og torskeartar;2841;16372
2000;1101 Eigersund;Flatfisk og botnfisk;161;3998
2000;1101 Eigersund;Djupvassfisk;30;172
2000;1101 Eigersund;Andre skaldyr og blautdyr;530;14982
2000;1101 Eigersund;Annan fisk, uspesifisert;169;115
2000;1102 Sandnes (-2019);Fisk i alt;:;:
2000;1102 Sandnes (-2019);Pelagisk fisk;0;0
2000;1102 Sandnes (-2019);Torsk og torskeartar;0;0
2000;1102 Sandnes (-2019);Flatfisk og botnfisk;0;0
2000;1102 Sandnes (-2019);Djupvassfisk;0;0
2000;1102 Sandnes (-2019);Andre skaldyr og blautdyr;0;0
2000;1102 Sandnes (-2019);Annan fisk, uspesifisert;:;:
2000;1103 Stavanger;Fisk i alt;3885;26669
2000;1103 Stavanger;Pelagisk fisk;3416;16601
2000;1103 Stavanger;Torsk og torskeartar;161;1191
2000;1103 Stavanger;Flatfisk og botnfisk;:;:
2000;1103 Stavanger;Djupvassfisk;21;171
2000;1103 Stavanger;Andre skaldyr og blautdyr;266;8320
2000;1103 Stavanger;Annan fisk, uspesifisert;:;:
2000;1106 Haugesund;Fisk i alt;470;1024
2000;1106 Haugesund;Pelagisk fisk;465;730
2000;1106 Haugesund;Torsk og torskeartar;:;:
2000;1106 Haugesund;Flatfisk og botnfisk;:;:
2000;1106 Haugesund;Djupvassfisk;0;0
2000;1106 Haugesund;Andre skaldyr og blautdyr;:;:
2000;1106 Haugesund;Annan fisk, uspesifisert;0;0
2000;1111 Sokndal;Fisk i alt;:;:
2000;1111 Sokndal;Pelagisk fisk;0;0
2000;1111 Sokndal;Torsk og torskeartar;0;0
2000;1111 Sokndal;Flatfisk og botnfisk;:;:
2000;1111 Sokndal;Djupvassfisk;0;0
2000;1111 Sokndal;Andre skaldyr og blautdyr;:;:
2000;1111 Sokndal;Annan fisk, uspesifisert;:;:
2000;1112 Lund;Fisk i alt;0;0
2000;1112 Lund;Pelagisk fisk;0;0
2000;1112 Lund;Torsk og torskeartar;0;0
2000;1112 Lund;Flatfisk og botnfisk;0;0
2000;1112 Lund;Djupvassfisk;0;0
2000;1112 Lund;Andre skaldyr og blautdyr;0;0
2000;1112 Lund;Annan fisk, uspesifisert;0;0
2000;1114 Bjerkreim;Fisk i alt;0;0
2000;1114 Bjerkreim;Pelagisk fisk;0;0
2000;1114 Bjerkreim;Torsk og torskeartar;0;0
2000;1114 Bjerkreim;Flatfisk og botnfisk;0;0
2000;1114 Bjerkreim;Djupvassfisk;0;0
2000;1114 Bjerkreim;Andre skaldyr og blautdyr;0;0
2000;1114 Bjerkreim;Annan fisk, uspesifisert;0;0
2000;1119 Hå;Fisk i alt;21628;85809
2000;1119 Hå;Pelagisk fisk;20172;63287
2000;1119 Hå;Torsk og torskeartar;880;6335
2000;1119 Hå;Flatfisk og botnfisk;56;1186
2000;1119 Hå;Djupvassfisk;62;513
2000;1119 Hå;Andre skaldyr og blautdyr;443;14459
2000;1119 Hå;Annan fisk, uspesifisert;14;29
2000;1120 Klepp;Fisk i alt;0;0
2000;1120 Klepp;Pelagisk fisk;0;0
2000;1120 Klepp;Torsk og torskeartar;0;0
2000;1120 Klepp;Flatfisk og botnfisk;0;0
2000;1120 Klepp;Djupvassfisk;0;0
2000;1120 Klepp;Andre skaldyr og blautdyr;0;0
2000;1120 Klepp;Annan fisk, uspesifisert;0;0
2000;1121 Time;Fisk i alt;0;0
2000;1121 Time;Pelagisk fisk;0;0
2000;1121 Time;Torsk og torskeartar;0;0
2000;1121 Time;Flatfisk og botnfisk;0;0
2000;1121 Time;Djupvassfisk;0;0
2000;1121 Time;Andre skaldyr og blautdyr;0;0
2000;1121 Time;Annan fisk, uspesifisert;0;0
2000;1122 Gjesdal;Fisk i alt;0;0
2000;1122 Gjesdal;Pelagisk fisk;0;0
2000;1122 Gjesdal;Torsk og torskeartar;0;0
2000;1122 Gjesdal;Flatfisk og botnfisk;0;0
2000;1122 Gjesdal;Djupvassfisk;0;0
2000;1122 Gjesdal;Andre skaldyr og blautdyr;0;0
2000;1122 Gjesdal;Annan fisk, uspesifisert;0;0
2000;1124 Sola;Fisk i alt;46;2305
2000;1124 Sola;Pelagisk fisk;0;0
2000;1124 Sola;Torsk og torskeartar;:;:
2000;1124 Sola;Flatfisk og botnfisk;0;0
2000;1124 Sola;Djupvassfisk;0;0
2000;1124 Sola;Andre skaldyr og blautdyr;41;2202
2000;1124 Sola;Annan fisk, uspesifisert;:;:
2000;1127 Randaberg;Fisk i alt;13;161
2000;1127 Randaberg;Pelagisk fisk;0;0
2000;1127 Randaberg;Torsk og torskeartar;0;0
2000;1127 Randaberg;Flatfisk og botnfisk;0;0
2000;1127 Randaberg;Djupvassfisk;0;0
2000;1127 Randaberg;Andre skaldyr og blautdyr;13;161
2000;1127 Randaberg;Annan fisk, uspesifisert;0;0
2000;1129 Forsand (-2019);Fisk i alt;0;0
2000;1129 Forsand (-2019);Pelagisk fisk;0;0
2000;1129 Forsand (-2019);Torsk og torskeartar;0;0
2000;1129 Forsand (-2019);Flatfisk og botnfisk;0;0
2000;1129 Forsand (-2019);Djupvassfisk;0;0
2000;1129 Forsand (-2019);Andre skaldyr og blautdyr;0;0
2000;1129 Forsand (-2019);Annan fisk, uspesifisert;0;0
2000;1130 Strand;Fisk i alt;10;269
2000;1130 Strand;Pelagisk fisk;0;0
2000;1130 Strand;Torsk og torskeartar;:;:
2000;1130 Strand;Flatfisk og botnfisk;0;0
2000;1130 Strand;Djupvassfisk;0;0
2000;1130 Strand;Andre skaldyr og blautdyr;6;236
2000;1130 Strand;Annan fisk, uspesifisert;:;:
2000;1133 Hjelmeland;Fisk i alt;266;2146
2000;1133 Hjelmeland;Pelagisk fisk;86;907
2000;1133 Hjelmeland;Torsk og torskeartar;148;785
2000;1133 Hjelmeland;Flatfisk og botnfisk;9;210
2000;1133 Hjelmeland;Djupvassfisk;20;148
2000;1133 Hjelmeland;Andre skaldyr og blautdyr;3;95
2000;1133 Hjelmeland;Annan fisk, uspesifisert;0;0
2000;1134 Suldal;Fisk i alt;0;0
2000;1134 Suldal;Pelagisk fisk;0;0
2000;1134 Suldal;Torsk og torskeartar;0;0
2000;1134 Suldal;Flatfisk og botnfisk;0;0
2000;1134 Suldal;Djupvassfisk;0;0
2000;1134 Suldal;Andre skaldyr og blautdyr;0;0
2000;1134 Suldal;Annan fisk, uspesifisert;0;0
2000;1135 Sauda;Fisk i alt;0;0
2000;1135 Sauda;Pelagisk fisk;0;0
2000;1135 Sauda;Torsk og torskeartar;0;0
2000;1135 Sauda;Flatfisk og botnfisk;0;0
2000;1135 Sauda;Djupvassfisk;0;0
2000;1135 Sauda;Andre skaldyr og blautdyr;0;0
2000;1135 Sauda;Annan fisk, uspesifisert;0;0
2000;1141 Finnøy (-2019);Fisk i alt;2;53
2000;1141 Finnøy (-2019);Pelagisk fisk;0;0
2000;1141 Finnøy (-2019);Torsk og torskeartar;:;:
2000;1141 Finnøy (-2019);Flatfisk og botnfisk;0;0
2000;1141 Finnøy (-2019);Djupvassfisk;0;0
2000;1141 Finnøy (-2019);Andre skaldyr og blautdyr;1;52
2000;1141 Finnøy (-2019);Annan fisk, uspesifisert;:;:
2000;1142 Rennesøy (-2019);Fisk i alt;435;9564
2000;1142 Rennesøy (-2019);Pelagisk fisk;0;0
2000;1142 Rennesøy (-2019);Torsk og torskeartar;56;448
2000;1142 Rennesøy (-2019);Flatfisk og botnfisk;:;:
2000;1142 Rennesøy (-2019);Djupvassfisk;7;43
2000;1142 Rennesøy (-2019);Andre skaldyr og blautdyr;356;8780
2000;1142 Rennesøy (-2019);Annan fisk, uspesifisert;:;:
2000;1144 Kvitsøy;Fisk i alt;304;6459
2000;1144 Kvitsøy;Pelagisk fisk;:;:
2000;1144 Kvitsøy;Torsk og torskeartar;112;725
2000;1144 Kvitsøy;Flatfisk og botnfisk;7;133
2000;1144 Kvitsøy;Djupvassfisk;3;17
2000;1144 Kvitsøy;Andre skaldyr og blautdyr;179;5577
2000;1144 Kvitsøy;Annan fisk, uspesifisert;:;:
2000;1145 Bokn;Fisk i alt;6;311
2000;1145 Bokn;Pelagisk fisk;0;0
2000;1145 Bokn;Torsk og torskeartar;:;:
2000;1145 Bokn;Flatfisk og botnfisk;:;:
2000;1145 Bokn;Djupvassfisk;0;0
2000;1145 Bokn;Andre skaldyr og blautdyr;5;305
2000;1145 Bokn;Annan fisk, uspesifisert;:;:
2000;1146 Tysvær;Fisk i alt;207;2056
2000;1146 Tysvær;Pelagisk fisk;35;319
2000;1146 Tysvær;Torsk og torskeartar;107;625
2000;1146 Tysvær;Flatfisk og botnfisk;27;861
2000;1146 Tysvær;Djupvassfisk;35;248
2000;1146 Tysvær;Andre skaldyr og blautdyr;0;0
2000;1146 Tysvær;Annan fisk, uspesifisert;2;2
2000;1149 Karmøy;Fisk i alt;195797;268515
2000;1149 Karmøy;Pelagisk fisk;189875;223882
2000;1149 Karmøy;Torsk og torskeartar;4820;24927
2000;1149 Karmøy;Flatfisk og botnfisk;152;3272
2000;1149 Karmøy;Djupvassfisk;82;591
2000;1149 Karmøy;Andre skaldyr og blautdyr;588;15837
2000;1149 Karmøy;Annan fisk, uspesifisert;280;6
2000;1151 Utsira;Fisk i alt;301;1277
2000;1151 Utsira;Pelagisk fisk;:;:
2000;1151 Utsira;Torsk og torskeartar;0;0
2000;1151 Utsira;Flatfisk og botnfisk;0;0
2000;1151 Utsira;Djupvassfisk;0;0
2000;1151 Utsira;Andre skaldyr og blautdyr;0;0
2000;1151 Utsira;Annan fisk, uspesifisert;:;:
2000;1154 Vindafjord (1965-2005);Fisk i alt;:;:
2000;1154 Vindafjord (1965-2005);Pelagisk fisk;:;:
2000;1154 Vindafjord (1965-2005);Torsk og torskeartar;0;0
2000;1154 Vindafjord (1965-2005);Flatfisk og botnfisk;0;0
2000;1154 Vindafjord (1965-2005);Djupvassfisk;0;0
2000;1154 Vindafjord (1965-2005);Andre skaldyr og blautdyr;0;0
2000;1154 Vindafjord (1965-2005);Annan fisk, uspesifisert;:;:
2000;1159 Ølen (2002-2005);Fisk i alt;0;0
2000;1159 Ølen (2002-2005);Pelagisk fisk;0;0
2000;1159 Ølen (2002-2005);Torsk og torskeartar;0;0
2000;1159 Ølen (2002-2005);Flatfisk og botnfisk;0;0
2000;1159 Ølen (2002-2005);Djupvassfisk;0;0
2000;1159 Ølen (2002-2005);Andre skaldyr og blautdyr;0;0
2000;1159 Ølen (2002-2005);Annan fisk, uspesifisert;0;0
2000;1160 Vindafjord;Fisk i alt;0;0
2000;1160 Vindafjord;Pelagisk fisk;0;0
2000;1160 Vindafjord;Torsk og torskeartar;0;0
2000;1160 Vindafjord;Flatfisk og botnfisk;0;0
2000;1160 Vindafjord;Djupvassfisk;0;0
2000;1160 Vindafjord;Andre skaldyr og blautdyr;0;0
2000;1160 Vindafjord;Annan fisk, uspesifisert;0;0
2000;1199 Uoppgitt kommune Rogaland;Fisk i alt;0;0
2000;1199 Uoppgitt kommune Rogaland;Pelagisk fisk;0;0
2000;1199 Uoppgitt kommune Rogaland;Torsk og torskeartar;0;0
2000;1199 Uoppgitt kommune Rogaland;Flatfisk og botnfisk;0;0
2000;1199 Uoppgitt kommune Rogaland;Djupvassfisk;0;0
2000;1199 Uoppgitt kommune Rogaland;Andre skaldyr og blautdyr;0;0
2000;1199 Uoppgitt kommune Rogaland;Annan fisk, uspesifisert;0;0
2000;1201 Bergen (1972-2019);Fisk i alt;28638;101943
2000;1201 Bergen (1972-2019);Pelagisk fisk;28525;99256
2000;1201 Bergen (1972-2019);Torsk og torskeartar;17;198
2000;1201 Bergen (1972-2019);Flatfisk og botnfisk;67;1917
2000;1201 Bergen (1972-2019);Djupvassfisk;2;12
2000;1201 Bergen (1972-2019);Andre skaldyr og blautdyr;6;558
2000;1201 Bergen (1972-2019);Annan fisk, uspesifisert;21;0
2000;1211 Etne (-2019);Fisk i alt;7;104
2000;1211 Etne (-2019);Pelagisk fisk;:;:
2000;1211 Etne (-2019);Torsk og torskeartar;0;0
2000;1211 Etne (-2019);Flatfisk og botnfisk;:;:
2000;1211 Etne (-2019);Djupvassfisk;0;0
2000;1211 Etne (-2019);Andre skaldyr og blautdyr;0;0
2000;1211 Etne (-2019);Annan fisk, uspesifisert;0;0
2000;1214 Ølen (1916-2001);Fisk i alt;0;0
2000;1214 Ølen (1916-2001);Pelagisk fisk;0;0
2000;1214 Ølen (1916-2001);Torsk og torskeartar;0;0
2000;1214 Ølen (1916-2001);Flatfisk og botnfisk;0;0
2000;1214 Ølen (1916-2001);Djupvassfisk;0;0
2000;1214 Ølen (1916-2001);Andre skaldyr og blautdyr;0;0
2000;1214 Ølen (1916-2001);Annan fisk, uspesifisert;0;0
2000;1216 Sveio (-2019);Fisk i alt;42;716
2000;1216 Sveio (-2019);Pelagisk fisk;:;:
2000;1216 Sveio (-2019);Torsk og torskeartar;1;9
2000;1216 Sveio (-2019);Flatfisk og botnfisk;1;22
2000;1216 Sveio (-2019);Djupvassfisk;:;:
2000;1216 Sveio (-2019);Andre skaldyr og blautdyr;30;657
2000;1216 Sveio (-2019);Annan fisk, uspesifisert;0;0
2000;1219 Bømlo (1916-2019);Fisk i alt;357;3262
2000;1219 Bømlo (1916-2019);Pelagisk fisk;169;1291
2000;1219 Bømlo (1916-2019);Torsk og torskeartar;136;759
2000;1219 Bømlo (1916-2019);Flatfisk og botnfisk;9;210
2000;1219 Bømlo (1916-2019);Djupvassfisk;9;51
2000;1219 Bømlo (1916-2019);Andre skaldyr og blautdyr;31;950
2000;1219 Bømlo (1916-2019);Annan fisk, uspesifisert;3;0
2000;1221 Stord (-2019);Fisk i alt;93;928
2000;1221 Stord (-2019);Pelagisk fisk;1;6
2000;1221 Stord (-2019);Torsk og torskeartar;70;433
2000;1221 Stord (-2019);Flatfisk og botnfisk;16;360
2000;1221 Stord (-2019);Djupvassfisk;4;26
2000;1221 Stord (-2019);Andre skaldyr og blautdyr;1;100
2000;1221 Stord (-2019);Annan fisk, uspesifisert;1;5
2000;1222 Fitjar (-2019);Fisk i alt;393;5150
2000;1222 Fitjar (-2019);Pelagisk fisk;0;0
2000;1222 Fitjar (-2019);Torsk og torskeartar;221;2078
2000;1222 Fitjar (-2019);Flatfisk og botnfisk;61;1659
2000;1222 Fitjar (-2019);Djupvassfisk;:;:
2000;1222 Fitjar (-2019);Andre skaldyr og blautdyr;97;1349
2000;1222 Fitjar (-2019);Annan fisk, uspesifisert;:;:
2000;1223 Tysnes (-2019);Fisk i alt;57;1634
2000;1223 Tysnes (-2019);Pelagisk fisk;:;:
2000;1223 Tysnes (-2019);Torsk og torskeartar;8;66
2000;1223 Tysnes (-2019);Flatfisk og botnfisk;:;:
2000;1223 Tysnes (-2019);Djupvassfisk;0;0
2000;1223 Tysnes (-2019);Andre skaldyr og blautdyr;21;1303
2000;1223 Tysnes (-2019);Annan fisk, uspesifisert;0;0
2000;1224 Kvinnherad (-2019);Fisk i alt;110;696
2000;1224 Kvinnherad (-2019);Pelagisk fisk;:;:
2000;1224 Kvinnherad (-2019);Torsk og torskeartar;88;545
2000;1224 Kvinnherad (-2019);Flatfisk og botnfisk;6;108
2000;1224 Kvinnherad (-2019);Djupvassfisk;0;0
2000;1224 Kvinnherad (-2019);Andre skaldyr og blautdyr;0;0
2000;1224 Kvinnherad (-2019);Annan fisk, uspesifisert;:;:
2000;1227 Jondal (-2019);Fisk i alt;0;0
2000;1227 Jondal (-2019);Pelagisk fisk;0;0
2000;1227 Jondal (-2019);Torsk og torskeartar;0;0
2000;1227 Jondal (-2019);Flatfisk og botnfisk;0;0
2000;1227 Jondal (-2019);Djupvassfisk;0;0
2000;1227 Jondal (-2019);Andre skaldyr og blautdyr;0;0
2000;1227 Jondal (-2019);Annan fisk, uspesifisert;0;0
2000;1228 Odda (1913-2019);Fisk i alt;0;0
2000;1228 Odda (1913-2019);Pelagisk fisk;0;0
2000;1228 Odda (1913-2019);Torsk og torskeartar;0;0
2000;1228 Odda (1913-2019);Flatfisk og botnfisk;0;0
2000;1228 Odda (1913-2019);Djupvassfisk;0;0
2000;1228 Odda (1913-2019);Andre skaldyr og blautdyr;0;0
2000;1228 Odda (1913-2019);Annan fisk, uspesifisert;0;0
2000;1230 Ullensvang (-1976);Fisk i alt;0;0
2000;1230 Ullensvang (-1976);Pelagisk fisk;0;0
2000;1230 Ullensvang (-1976);Torsk og torskeartar;0;0
2000;1230 Ullensvang (-1976);Flatfisk og botnfisk;0;0
2000;1230 Ullensvang (-1976);Djupvassfisk;0;0
2000;1230 Ullensvang (-1976);Andre skaldyr og blautdyr;0;0
2000;1230 Ullensvang (-1976);Annan fisk, uspesifisert;0;0
2000;1231 Ullensvang (1977-2019);Fisk i alt;0;0
2000;1231 Ullensvang (1977-2019);Pelagisk fisk;0;0
2000;1231 Ullensvang (1977-2019);Torsk og torskeartar;0;0
2000;1231 Ullensvang (1977-2019);Flatfisk og botnfisk;0;0
2000;1231 Ullensvang (1977-2019);Djupvassfisk;0;0
2000;1231 Ullensvang (1977-2019);Andre skaldyr og blautdyr;0;0
2000;1231 Ullensvang (1977-2019);Annan fisk, uspesifisert;0;0
2000;1232 Eidfjord (-2019);Fisk i alt;0;0
2000;1232 Eidfjord (-2019);Pelagisk fisk;0;0
2000;1232 Eidfjord (-2019);Torsk og torskeartar;0;0
2000;1232 Eidfjord (-2019);Flatfisk og botnfisk;0;0
2000;1232 Eidfjord (-2019);Djupvassfisk;0;0
2000;1232 Eidfjord (-2019);Andre skaldyr og blautdyr;0;0
2000;1232 Eidfjord (-2019);Annan fisk, uspesifisert;0;0
2000;1233 Ulvik (-2019);Fisk i alt;:;:
2000;1233 Ulvik (-2019);Pelagisk fisk;0;0
2000;1233 Ulvik (-2019);Torsk og torskeartar;:;:
2000;1233 Ulvik (-2019);Flatfisk og botnfisk;:;:
2000;1233 Ulvik (-2019);Djupvassfisk;:;:
2000;1233 Ulvik (-2019);Andre skaldyr og blautdyr;0;0
2000;1233 Ulvik (-2019);Annan fisk, uspesifisert;0;0
2000;1234 Granvin (-2019);Fisk i alt;0;0
2000;1234 Granvin (-2019);Pelagisk fisk;0;0
2000;1234 Granvin (-2019);Torsk og torskeartar;0;0
2000;1234 Granvin (-2019);Flatfisk og botnfisk;0;0
2000;1234 Granvin (-2019);Djupvassfisk;0;0
2000;1234 Granvin (-2019);Andre skaldyr og blautdyr;0;0
2000;1234 Granvin (-2019);Annan fisk, uspesifisert;0;0
2000;1235 Voss (-2019);Fisk i alt;0;0
2000;1235 Voss (-2019);Pelagisk fisk;0;0
2000;1235 Voss (-2019);Torsk og torskeartar;0;0
2000;1235 Voss (-2019);Flatfisk og botnfisk;0;0
2000;1235 Voss (-2019);Djupvassfisk;0;0
2000;1235 Voss (-2019);Andre skaldyr og blautdyr;0;0
2000;1235 Voss (-2019);Annan fisk, uspesifisert;0;0
2000;1238 Kvam (-2019);Fisk i alt;0;0
2000;1238 Kvam (-2019);Pelagisk fisk;0;0
2000;1238 Kvam (-2019);Torsk og torskeartar;0;0
2000;1238 Kvam (-2019);Flatfisk og botnfisk;0;0
2000;1238 Kvam (-2019);Djupvassfisk;0;0
2000;1238 Kvam (-2019);Andre skaldyr og blautdyr;0;0
2000;1238 Kvam (-2019);Annan fisk, uspesifisert;0;0
2000;1241 Fusa (-2019);Fisk i alt;0;0
2000;1241 Fusa (-2019);Pelagisk fisk;0;0
2000;1241 Fusa (-2019);Torsk og torskeartar;0;0
2000;1241 Fusa (-2019);Flatfisk og botnfisk;0;0
2000;1241 Fusa (-2019);Djupvassfisk;0;0
2000;1241 Fusa (-2019);Andre skaldyr og blautdyr;0;0
2000;1241 Fusa (-2019);Annan fisk, uspesifisert;0;0
2000;1242 Samnanger (1907-2019);Fisk i alt;50;489
2000;1242 Samnanger (1907-2019);Pelagisk fisk;8;108
2000;1242 Samnanger (1907-2019);Torsk og torskeartar;39;333
2000;1242 Samnanger (1907-2019);Flatfisk og botnfisk;2;46
2000;1242 Samnanger (1907-2019);Djupvassfisk;:;:
2000;1242 Samnanger (1907-2019);Andre skaldyr og blautdyr;0;2
2000;1242 Samnanger (1907-2019);Annan fisk, uspesifisert;:;:
2000;1243 Os (Hordaland) (-2019);Fisk i alt;:;:
2000;1243 Os (Hordaland) (-2019);Pelagisk fisk;:;:
2000;1243 Os (Hordaland) (-2019);Torsk og torskeartar;0;0
2000;1243 Os (Hordaland) (-2019);Flatfisk og botnfisk;0;0
2000;1243 Os (Hordaland) (-2019);Djupvassfisk;0;0
2000;1243 Os (Hordaland) (-2019);Andre skaldyr og blautdyr;0;0
2000;1243 Os (Hordaland) (-2019);Annan fisk, uspesifisert;0;0
2000;1244 Austevoll (-2019);Fisk i alt;70539;217405
2000;1244 Austevoll (-2019);Pelagisk fisk;70179;216362
2000;1244 Austevoll (-2019);Torsk og torskeartar;84;247
2000;1244 Austevoll (-2019);Flatfisk og botnfisk;14;297
2000;1244 Austevoll (-2019);Djupvassfisk;10;63
2000;1244 Austevoll (-2019);Andre skaldyr og blautdyr;8;437
2000;1244 Austevoll (-2019);Annan fisk, uspesifisert;245;0
2000;1245 Sund (-2019);Fisk i alt;676;7440
2000;1245 Sund (-2019);Pelagisk fisk;276;2099
2000;1245 Sund (-2019);Torsk og torskeartar;290;2435
2000;1245 Sund (-2019);Flatfisk og botnfisk;47;1262
2000;1245 Sund (-2019);Djupvassfisk;:;:
2000;1245 Sund (-2019);Andre skaldyr og blautdyr;55;1595
2000;1245 Sund (-2019);Annan fisk, uspesifisert;:;:
2000;1246 Fjell (-2019);Fisk i alt;24;567
2000;1246 Fjell (-2019);Pelagisk fisk;0;0
2000;1246 Fjell (-2019);Torsk og torskeartar;0;0
2000;1246 Fjell (-2019);Flatfisk og botnfisk;0;0
2000;1246 Fjell (-2019);Djupvassfisk;0;0
2000;1246 Fjell (-2019);Andre skaldyr og blautdyr;24;567
