08868: Fangst, etter år, landingskommune, fangstart og statistikkvariabel;;;;
;;;;
år;landingskommune;fangstart;Mengde (tonn);Verdi (1 000 kr)
2000;0121 Rømskog (-2019);Fisk i alt;0;0
2000;0121 Rømskog (-2019);Pelagisk fisk;0;0
2000;0121 Rømskog (-2019);Torsk og torskeartar;0;0
2000;0121 Rømskog (-2019);Flatfisk og botnfisk;0;0
2000;0121 Rømskog (-2019);Djupvassfisk;0;0
2000;0121 Rømskog (-2019);Andre skaldyr og blautdyr;0;0
2000;0121 Rømskog (-2019);Annan fisk, uspesifisert;0;0
2000;0122 Trøgstad (-2019);Fisk i alt;0;0
2000;0122 Trøgstad (-2019);Pelagisk fisk;0;0
2000;0122 Trøgstad (-2019);Torsk og torskeartar;0;0
2000;0122 Trøgstad (-2019);Flatfisk og botnfisk;0;0
2000;0122 Trøgstad (-2019);Djupvassfisk;0;0
2000;0122 Trøgstad (-2019);Andre skaldyr og blautdyr;0;0
2000;0122 Trøgstad (-2019);Annan fisk, uspesifisert;0;0
2000;0123 Spydeberg (-2019);Fisk i alt;0;0
2000;0123 Spydeberg (-2019);Pelagisk fisk;0;0
2000;0123 Spydeberg (-2019);Torsk og torskeartar;0;0
2000;0123 Spydeberg (-2019);Flatfisk og botnfisk;0;0
2000;0123 Spydeberg (-2019);Djupvassfisk;0;0
2000;0123 Spydeberg (-2019);Andre skaldyr og blautdyr;0;0
2000;0123 Spydeberg (-2019);Annan fisk, uspesifisert;0;0
2000;0124 Askim (-2019);Fisk i alt;0;0
2000;0124 Askim (-2019);Pelagisk fisk;0;0
2000;0124 Askim (-2019);Torsk og torskeartar;0;0
2000;0124 Askim (-2019);Flatfisk og botnfisk;0;0
2000;0124 Askim (-2019);Djupvassfisk;0;0
2000;0124 Askim (-2019);Andre skaldyr og blautdyr;0;0
2000;0124 Askim (-2019);Annan fisk, uspesifisert;0;0
2000;0125 Eidsberg (-2019);Fisk i alt;0;0
2000;0125 Eidsberg (-2019);Pelagisk fisk;0;0
2000;0125 Eidsberg (-2019);Torsk og torskeartar;0;0
2000;0125 Eidsberg (-2019);Flatfisk og botnfisk;0;0
2000;0125 Eidsberg (-2019);Djupvassfisk;0;0
2000;0125 Eidsberg (-2019);Andre skaldyr og blautdyr;0;0
2000;0125 Eidsberg (-2019);Annan fisk, uspesifisert;0;0
2000;0127 Skiptvet (-2019);Fisk i alt;0;0
2000;0127 Skiptvet (-2019);Pelagisk fisk;0;0
2000;0127 Skiptvet (-2019);Torsk og torskeartar;0;0
2000;0127 Skiptvet (-2019);Flatfisk og botnfisk;0;0
2000;0127 Skiptvet (-2019);Djupvassfisk;0;0
2000;0127 Skiptvet (-2019);Andre skaldyr og blautdyr;0;0
2000;0127 Skiptvet (-2019);Annan fisk, uspesifisert;0;0
2000;0128 Rakkestad (-2019);Fisk i alt;0;0
2000;0128 Rakkestad (-2019);Pelagisk fisk;0;0
2000;0128 Rakkestad (-2019);Torsk og torskeartar;0;0
2000;0128 Rakkestad (-2019);Flatfisk og botnfisk;0;0
2000;0128 Rakkestad (-2019);Djupvassfisk;0;0
2000;0128 Rakkestad (-2019);Andre skaldyr og blautdyr;0;0
2000;0128 Rakkestad (-2019);Annan fisk, uspesifisert;0;0
2000;0130 Tune (-1991);Fisk i alt;0;0
2000;0130 Tune (-1991);Pelagisk fisk;0;0
2000;0130 Tune (-1991);Torsk og torskeartar;0;0
2000;0130 Tune (-1991);Flatfisk og botnfisk;0;0
2000;0130 Tune (-1991);Djupvassfisk;0;0
2000;0130 Tune (-1991);Andre skaldyr og blautdyr;0;0
